univ	ut	au	tu_au	lumc_au	leiden_au
leiden univ	000390809100039	3	0	0	3
leiden univ	000313745100004	12	0	0	9
leiden univ	000412163100030	6	0	0	1
leiden univ	000288170300007	12	0	0	1
tu delft	000411114300001	3	1	0	0
leiden univ	000272180800022	1	0	0	0
tu delft	000391676100001	4	4	0	0
leiden univ	000362155000014	6	0	0	6
leiden univ	000325631200014	12	0	0	10
leiden univ	000330747900006	9	0	0	1
leiden univ	000318339700016	19	0	0	2
tu delft	000394919000030	7	2	0	0
leiden univ	000261295100008	2	1	0	0
leiden univ	000279663700004	9	0	0	4
leiden univ	000330379500242	8	0	1	7
leiden univ	000265522700003	1	0	0	1
leiden univ	000383869501269	5	0	0	5
tu delft	000396547600004	1	1	0	0
leiden univ	000335822500003	7	0	0	3
leiden univ	000273143400004	6	0	0	1
leiden univ	000350105900020	9	0	0	5
leiden univ	000293755000015	4	0	0	3
leiden univ	000270455600004	4	0	0	1
leiden univ	000396967600018	7	0	0	1
tu delft	000207655900006	2	2	0	0
tu delft	000379753000007	3	1	0	0
tu delft	000391074400014	1	1	0	0
leiden univ	000361887401353	15	0	0	6
leiden univ	000417262300006	13	0	0	2
leiden univ	000408695300028	4	0	0	3
leiden univ	000283859800007	6	0	0	5
tu delft	000285005000038	5	3	0	0
leiden univ	000279194600183	5	0	0	1
leiden univ	000276047500008	11	0	0	1
tu delft	000340694500022	5	2	0	0
leiden univ	000348020200013	16	0	0	6
leiden univ	000320344200015	3	0	0	1
tu delft	000294062800008	3	1	0	0
tu delft	000391591800001	5	5	0	0
tu delft	000338512700008	3	3	0	0
leiden univ	000268443200019	5	0	0	4
tu delft	000330815400007	10	4	0	0
leiden univ	000295768300003	5	0	0	5
leiden univ	000352216700005	2	0	0	1
leiden univ	000322086000003	3	0	0	3
leiden univ	000387007900018	12	0	0	2
leiden univ	000311217000012	9	0	0	2
leiden univ	000379763600012	9	0	0	2
leiden univ	000298528000006	1	0	0	1
tu delft	000370880700011	8	1	0	0
leiden univ	000338033303693	9	0	0	9
lumc	000413181401383	6	0	0	5
tu delft	000312074700015	3	3	0	0
tu delft	000367259500014	1	1	0	0
leiden univ	000400140400001	1	0	0	1
leiden univ	000255457600060	9	0	0	1
leiden univ	000365775800028	16	0	0	6
leiden univ	000208663801028	2	0	0	2
leiden univ	000381962200033	8	0	0	1
leiden univ	000301505600003	4	0	0	1
leiden univ	000362447200013	7	0	0	6
leiden univ	000273978200004	4	0	0	1
tu delft	000410013700013	4	2	0	0
leiden univ	000370254400050	5	0	0	1
leiden univ	000209816100730	3	0	0	3
leiden univ	000373591300013	7	0	0	1
leiden univ	000418352200002	2	0	0	1
tu delft	000405841600001	2	2	0	0
leiden univ	000412686100022	9	0	0	3
leiden univ	000287621500005	6	0	0	3
lumc	000318724000021	11	0	0	7
leiden univ	000300644400007	5	0	0	1
leiden univ	000282986700034	4	0	0	2
leiden univ	000366144200158	21	0	0	1
lumc	000411529400035	2	0	0	2
tu delft	000285767900036	4	4	0	0
leiden univ	000320504200005	11	0	0	1
leiden univ	000336869900003	4	0	0	4
tu delft	000315314500005	5	3	0	0
leiden univ	000402808700070	7	0	0	2
lumc	000296022000012	11	0	0	10
leiden univ	000259264304926	3	0	0	1
leiden univ	000300060600019	2	0	0	1
leiden univ	000308491200010	213	0	0	2
leiden univ	000266786800009	2	0	0	2
tu delft	000355937100009	4	1	0	0
tu delft	000291031700001	4	2	0	0
leiden univ	000372552200011	9	0	0	2
leiden univ	000310079800004	2	0	0	1
leiden univ	000293113200045	6	0	0	4
leiden univ	000284149000002	18	0	0	1
tu delft	000386414200005	4	1	0	0
leiden univ	000331833601264	8	0	0	4
leiden univ	000320731900001	4	0	0	2
leiden univ	000277165300002	5	0	0	1
leiden univ	000267099100002	5	2	0	3
leiden univ	000395821900113	45	0	0	1
leiden univ	000281344200157	5	0	0	3
leiden univ	000350974300035	5	0	0	3
tu delft	000371910400008	2	2	0	0
leiden univ	000278544100001	7	0	0	6
leiden univ	000288453600006	5	0	0	2
leiden univ	000346264900026	3	0	0	3
leiden univ	000318074100017	8	0	0	2
tu delft	000362849400111	5	5	0	0
tu delft	000263595500022	7	3	0	0
leiden univ	000297450000013	9	0	0	1
leiden univ	000308120300003	5	0	0	1
leiden univ	000331617000063	2	0	0	1
tu delft	000256204800002	4	4	0	0
tu delft	000285576800023	1	1	0	0
tu delft	000388493400027	6	5	0	0
leiden univ	000406345900001	9	0	0	1
tu delft	000325400800003	4	4	0	0
lumc	000321259600026	5	0	0	1
leiden univ	000351886200003	2	0	0	1
leiden univ	000293593300044	5	0	0	1
tu delft	000290194100018	1	1	0	0
tu delft	000374294800016	4	2	0	0
lumc	000255419000022	2	0	0	2
leiden univ	000298275400051	1	0	0	1
leiden univ	000260653500306	14	0	0	4
tu delft	000331094900036	5	4	0	0
tu delft	000330109400011	1	1	0	0
leiden univ	000400186400001	4	4	0	0
leiden univ	000348699300007	6	0	0	3
leiden univ	000415578200002	2	0	0	0
tu delft	000417660800027	4	1	0	0
leiden univ	000364539700003	3	0	0	1
leiden univ	000378119900034	8	0	0	2
leiden univ	000277106200096	7	0	0	7
tu delft	000277004000001	6	2	0	0
leiden univ	000296455500003	54	0	0	2
leiden univ	000293304200005	3	0	0	2
leiden univ	000359079700033	10	0	0	1
leiden univ	000358778900004	80	0	0	2
tu delft	000262540800009	3	1	0	0
leiden univ	000335956400003	8	0	0	1
tu delft	000355633300018	2	1	0	0
leiden univ	000337000402864	5	0	0	5
leiden univ	000351632900188	16	0	0	2
tu delft	000293684300010	2	2	0	0
leiden univ	000395394900266	10	0	0	1
tu delft	000373421700011	7	3	0	0
leiden univ	000386408100004	6	0	0	1
leiden univ	000262376200022	7	0	0	5
leiden univ	000279707500002	4	0	0	2
leiden univ	000320843700011	5	0	0	2
leiden univ	000262104501134	8	0	0	1
